Job profession,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist
Marine Biologist,7.0,6.0,14.0,20.0,12.0,10.0,11.0,19.0
Marine Biologist,8.0,7.0,12.0,20.0,12.0,9.0,12.0,19.0
Marine Biologist,9.0,8.0,13.0,20.0,12.0,8.0,14.0,19.0
Marine Biologist,10.0,9.0,11.0,20.0,12.0,7.0,12.0,19.0
Marine Biologist,9.0,8.0,12.0,20.0,12.0,6.0,13.0,19.0
Marine Biologist,8.0,5.0,14.0,20.0,12.0,6.0,11.0,19.0
Marine Biologist,7.0,6.0,12.0,20.0,12.0,9.0,12.0,19.0
Marine Biologist,6.0,7.0,13.0,20.0,12.0,10.0,14.0,19.0
Marine Biologist,6.0,8.0,11.0,20.0,12.0,9.0,13.0,19.0
Marine Biologist,7.0,9.0,12.0,20.0,12.0,8.0,11.0,19.0
Marine Biologist,8.0,5.0,14.0,20.0,12.0,7.0,12.0,19.0
Marine Biologist,9.0,6.0,12.0,20.0,12.0,6.0,14.0,19.0
Marine Biologist,10.0,7.0,13.0,20.0,12.0,6.0,12.0,19.0
Marine Biologist,9.0,8.0,11.0,20.0,12.0,9.0,13.0,19.0
Marine Biologist,8.0,9.0,12.0,20.0,12.0,10.0,11.0,19.0
Marine Biologist,7.0,8.0,14.0,20.0,12.0,9.0,12.0,19.0
Marine Biologist,6.0,5.0,12.0,20.0,12.0,8.0,14.0,19.0
Marine Biologist,6.0,6.0,13.0,19.0,12.0,7.0,13.0,19.0
Marine Biologist,7.0,7.0,11.0,19.0,12.0,6.0,11.0,19.0
Marine Biologist,8.0,8.0,12.0,19.0,12.0,6.0,12.0,19.0
Marine Biologist,9.0,9.0,14.0,19.0,11.0,9.0,14.0,16.0
Marine Biologist,10.0,5.0,12.0,19.0,11.0,10.0,12.0,16.0
Marine Biologist,9.0,6.0,13.0,19.0,11.0,9.0,13.0,16.0
Marine Biologist,8.0,7.0,11.0,19.0,11.0,8.0,11.0,16.0
Marine Biologist,7.0,8.0,12.0,19.0,11.0,7.0,12.0,16.0
Marine Biologist,6.0,9.0,14.0,19.0,11.0,6.0,14.0,16.0
Marine Biologist,6.0,8.0,12.0,19.0,11.0,6.0,13.0,16.0
Marine Biologist,7.0,5.0,13.0,19.0,11.0,9.0,11.0,16.0
Marine Biologist,8.0,6.0,11.0,19.0,11.0,10.0,12.0,16.0
Marine Biologist,9.0,7.0,12.0,19.0,11.0,9.0,14.0,16.0
Marine Biologist,10.0,8.0,14.0,19.0,14.0,8.0,12.0,16.0
Marine Biologist,9.0,9.0,12.0,18.0,14.0,7.0,13.0,16.0
Marine Biologist,8.0,5.0,13.0,18.0,14.0,6.0,11.0,16.0
Marine Biologist,7.0,6.0,11.0,18.0,14.0,6.0,12.0,18.0
Marine Biologist,6.0,7.0,12.0,18.0,14.0,9.0,14.0,18.0
Marine Biologist,6.0,8.0,14.0,18.0,14.0,10.0,13.0,18.0
Marine Biologist,7.0,9.0,12.0,18.0,14.0,9.0,11.0,18.0
Marine Biologist,8.0,8.0,13.0,18.0,14.0,8.0,12.0,18.0
Marine Biologist,9.0,5.0,11.0,18.0,14.0,7.0,14.0,18.0
Marine Biologist,10.0,6.0,12.0,18.0,14.0,6.0,12.0,18.0
Marine Biologist,9.0,7.0,14.0,18.0,14.0,6.0,13.0,18.0
Marine Biologist,8.0,8.0,12.0,18.0,12.0,9.0,11.0,18.0
Marine Biologist,7.0,9.0,13.0,18.0,12.0,10.0,12.0,18.0
Marine Biologist,6.0,5.0,12.0,18.0,12.0,9.0,14.0,18.0
Marine Biologist,8.0,6.0,14.0,17.0,12.0,8.0,13.0,18.0
Marine Biologist,7.0,7.0,12.0,17.0,12.0,7.0,11.0,18.0
Marine Biologist,6.0,8.0,13.0,17.0,12.0,6.0,12.0,18.0
Marine Biologist,9.0,9.0,11.0,17.0,12.0,6.0,14.0,18.0
Veterinarian,11.0,5.0,11.0,12.0,6.0,17.0,19.0,18.0
Veterinarian,12.0,5.0,14.0,14.0,9.0,20.0,19.0,18.0
Veterinarian,14.0,9.0,13.0,12.0,8.0,18.0,19.0,18.0
Veterinarian,13.0,8.0,11.0,13.0,7.0,19.0,19.0,18.0
Veterinarian,11.0,7.0,12.0,11.0,6.0,16.0,19.0,18.0
Veterinarian,12.0,6.0,14.0,12.0,8.0,15.0,19.0,18.0
Veterinarian,11.0,8.0,13.0,14.0,7.0,17.0,19.0,18.0
Veterinarian,11.0,7.0,11.0,12.0,6.0,20.0,19.0,18.0
Veterinarian,12.0,6.0,12.0,13.0,9.0,18.0,19.0,18.0
Veterinarian,14.0,9.0,11.0,11.0,6.0,19.0,19.0,18.0
Veterinarian,13.0,5.0,14.0,12.0,9.0,16.0,19.0,18.0
Veterinarian,11.0,5.0,13.0,14.0,8.0,15.0,19.0,18.0
Veterinarian,12.0,9.0,11.0,12.0,7.0,17.0,18.0,18.0
Veterinarian,11.0,8.0,12.0,13.0,6.0,20.0,18.0,18.0
Veterinarian,11.0,7.0,14.0,11.0,8.0,18.0,18.0,18.0
Veterinarian,12.0,6.0,13.0,12.0,7.0,19.0,18.0,18.0
Veterinarian,14.0,8.0,11.0,14.0,6.0,16.0,18.0,18.0
Veterinarian,13.0,7.0,12.0,12.0,9.0,15.0,18.0,17.0
Veterinarian,11.0,6.0,11.0,14.0,7.0,17.0,18.0,17.0
Veterinarian,12.0,9.0,11.0,12.0,9.0,20.0,18.0,17.0
Veterinarian,11.0,6.0,11.0,13.0,8.0,18.0,18.0,17.0
Veterinarian,11.0,9.0,14.0,11.0,7.0,19.0,18.0,17.0
Veterinarian,12.0,8.0,13.0,12.0,6.0,16.0,18.0,17.0
Veterinarian,14.0,7.0,11.0,14.0,8.0,15.0,18.0,17.0
Veterinarian,13.0,6.0,12.0,12.0,7.0,17.0,18.0,17.0
Veterinarian,11.0,8.0,14.0,13.0,6.0,20.0,18.0,17.0
Veterinarian,12.0,7.0,13.0,11.0,9.0,18.0,18.0,17.0
Veterinarian,11.0,6.0,11.0,12.0,7.0,19.0,18.0,17.0
Veterinarian,11.0,9.0,12.0,14.0,9.0,16.0,18.0,17.0
Veterinarian,12.0,7.0,11.0,12.0,8.0,15.0,18.0,17.0
Veterinarian,14.0,9.0,11.0,13.0,7.0,17.0,18.0,17.0
Veterinarian,13.0,8.0,14.0,11.0,6.0,20.0,18.0,17.0
Veterinarian,11.0,7.0,13.0,12.0,8.0,18.0,18.0,17.0
Veterinarian,12.0,6.0,11.0,14.0,7.0,19.0,18.0,17.0
Veterinarian,11.0,8.0,12.0,12.0,6.0,16.0,18.0,17.0
Veterinarian,11.0,7.0,14.0,14.0,9.0,15.0,18.0,17.0
Veterinarian,12.0,6.0,13.0,12.0,9.0,17.0,18.0,17.0
Veterinarian,14.0,9.0,11.0,13.0,9.0,20.0,17.0,17.0
Veterinarian,13.0,7.0,12.0,11.0,8.0,18.0,17.0,17.0
Veterinarian,11.0,7.0,14.0,12.0,7.0,19.0,17.0,19.0
Veterinarian,12.0,7.0,14.0,14.0,6.0,16.0,17.0,19.0
Veterinarian,11.0,9.0,11.0,12.0,8.0,15.0,17.0,19.0
Veterinarian,11.0,8.0,14.0,13.0,7.0,17.0,17.0,19.0
Veterinarian,12.0,7.0,13.0,11.0,9.0,20.0,17.0,19.0
Veterinarian,14.0,6.0,11.0,12.0,8.0,18.0,17.0,19.0
Veterinarian,13.0,8.0,12.0,14.0,7.0,19.0,17.0,19.0
Veterinarian,11.0,7.0,14.0,12.0,6.0,16.0,17.0,19.0
Veterinarian,12.0,6.0,13.0,13.0,8.0,15.0,17.0,19.0
Veterinarian,11.0,9.0,11.0,11.0,7.0,18.0,17.0,19.0
Veterinarian,13.0,10.0,12.0,12.0,6.0,15.0,17.0,19.0
Nature photographer,11.0,5.0,17.0,10.0,6.0,12.0,17.0,20.0
Nature photographer,12.0,5.0,20.0,10.0,6.0,12.0,17.0,18.0
Nature photographer,13.0,6.0,18.0,10.0,6.0,12.0,17.0,20.0
Nature photographer,14.0,6.0,19.0,10.0,6.0,12.0,17.0,15.0
Nature photographer,13.0,7.0,16.0,10.0,6.0,12.0,17.0,20.0
Nature photographer,12.0,7.0,15.0,10.0,6.0,12.0,17.0,16.0
Nature photographer,11.0,8.0,17.0,10.0,6.0,12.0,17.0,19.0
Nature photographer,11.0,8.0,20.0,10.0,6.0,12.0,17.0,18.0
Nature photographer,12.0,9.0,18.0,10.0,6.0,12.0,17.0,20.0
Nature photographer,13.0,9.0,19.0,10.0,6.0,12.0,17.0,19.0
Nature photographer,14.0,5.0,16.0,10.0,6.0,12.0,17.0,18.0
Nature photographer,13.0,5.0,15.0,10.0,6.0,12.0,17.0,17.0
Nature photographer,12.0,6.0,17.0,10.0,6.0,11.0,17.0,20.0
Nature photographer,11.0,6.0,20.0,10.0,6.0,11.0,17.0,18.0
Nature photographer,11.0,7.0,18.0,8.0,6.0,11.0,17.0,20.0
Nature photographer,12.0,7.0,19.0,8.0,6.0,11.0,17.0,15.0
Nature photographer,13.0,8.0,16.0,8.0,6.0,11.0,17.0,20.0
Nature photographer,14.0,8.0,15.0,8.0,5.0,11.0,17.0,16.0
Nature photographer,13.0,9.0,17.0,8.0,5.0,11.0,17.0,19.0
Nature photographer,12.0,9.0,20.0,8.0,5.0,11.0,19.0,18.0
Nature photographer,11.0,7.0,18.0,8.0,5.0,11.0,19.0,20.0
Nature photographer,11.0,5.0,19.0,8.0,5.0,11.0,19.0,19.0
Nature photographer,12.0,5.0,16.0,8.0,5.0,11.0,19.0,18.0
Nature photographer,13.0,6.0,15.0,6.0,5.0,11.0,19.0,17.0
Nature photographer,14.0,6.0,17.0,6.0,5.0,11.0,19.0,18.0
Nature photographer,13.0,7.0,20.0,6.0,5.0,11.0,19.0,20.0
Nature photographer,12.0,7.0,18.0,6.0,5.0,11.0,19.0,15.0
Nature photographer,11.0,8.0,19.0,6.0,5.0,13.0,19.0,20.0
Nature photographer,14.0,8.0,16.0,6.0,5.0,13.0,19.0,16.0
Nature photographer,12.0,9.0,15.0,6.0,5.0,13.0,19.0,19.0
Nature photographer,13.0,9.0,17.0,6.0,5.0,13.0,19.0,18.0
Nature photographer,14.0,8.0,20.0,6.0,5.0,13.0,19.0,20.0
Nature photographer,13.0,5.0,18.0,6.0,5.0,13.0,19.0,19.0
Nature photographer,12.0,5.0,19.0,6.0,5.0,13.0,19.0,18.0
Nature photographer,11.0,6.0,16.0,6.0,5.0,13.0,19.0,17.0
Nature photographer,11.0,6.0,15.0,6.0,8.0,13.0,19.0,18.0
Nature photographer,12.0,7.0,17.0,6.0,8.0,13.0,19.0,20.0
Nature photographer,13.0,7.0,17.0,6.0,8.0,13.0,19.0,15.0
Nature photographer,14.0,8.0,20.0,6.0,8.0,13.0,19.0,20.0
Nature photographer,13.0,8.0,18.0,6.0,8.0,13.0,18.0,16.0
Nature photographer,12.0,9.0,19.0,6.0,8.0,13.0,18.0,19.0
Nature photographer,11.0,5.0,16.0,7.0,8.0,14.0,18.0,18.0
Nature photographer,11.0,5.0,15.0,7.0,8.0,14.0,18.0,20.0
Nature photographer,12.0,6.0,17.0,7.0,8.0,14.0,18.0,19.0
Nature photographer,13.0,6.0,20.0,7.0,8.0,14.0,18.0,18.0
Nature photographer,14.0,7.0,18.0,7.0,8.0,14.0,18.0,17.0
Nature photographer,13.0,7.0,19.0,7.0,8.0,14.0,18.0,16.0
Nature photographer,12.0,8.0,16.0,7.0,8.0,14.0,18.0,15.0
Nature photographer,11.0,8.0,15.0,7.0,8.0,14.0,18.0,17.0
Nature photographer,14.0,9.0,18.0,7.0,8.0,14.0,18.0,18.0
Recording engineer,13.0,20.0,5.0,16.0,5.0,17.0,12.0,7.0
Recording engineer,12.0,17.0,6.0,16.0,6.0,17.0,12.0,5.0
Recording engineer,11.0,17.0,7.0,16.0,7.0,17.0,12.0,6.0
Recording engineer,11.0,18.0,8.0,16.0,8.0,17.0,12.0,7.0
Recording engineer,12.0,17.0,9.0,16.0,9.0,17.0,12.0,8.0
Recording engineer,13.0,17.0,10.0,16.0,6.0,17.0,12.0,9.0
Recording engineer,13.0,16.0,5.0,16.0,5.0,17.0,12.0,5.0
Recording engineer,12.0,15.0,5.0,16.0,6.0,17.0,12.0,6.0
Recording engineer,11.0,19.0,5.0,16.0,7.0,17.0,12.0,7.0
Recording engineer,11.0,20.0,6.0,16.0,8.0,17.0,12.0,8.0
Recording engineer,12.0,17.0,7.0,16.0,9.0,17.0,12.0,9.0
Recording engineer,13.0,17.0,8.0,17.0,5.0,18.0,13.0,8.0
Recording engineer,13.0,18.0,9.0,17.0,6.0,18.0,14.0,8.0
Recording engineer,12.0,17.0,7.0,17.0,7.0,18.0,11.0,8.0
Recording engineer,11.0,16.0,8.0,17.0,8.0,18.0,12.0,8.0
Recording engineer,11.0,20.0,9.0,17.0,9.0,18.0,13.0,8.0
Recording engineer,12.0,17.0,10.0,17.0,5.0,18.0,11.0,8.0
Recording engineer,13.0,17.0,9.0,17.0,6.0,18.0,12.0,8.0
Recording engineer,13.0,18.0,8.0,17.0,7.0,18.0,13.0,8.0
Recording engineer,12.0,17.0,5.0,17.0,8.0,18.0,12.0,8.0
Recording engineer,11.0,17.0,6.0,17.0,9.0,18.0,14.0,8.0
Recording engineer,11.0,16.0,7.0,17.0,5.0,18.0,13.0,8.0
Recording engineer,12.0,15.0,5.0,18.0,6.0,19.0,11.0,6.0
Recording engineer,13.0,19.0,6.0,18.0,7.0,19.0,14.0,6.0
Recording engineer,13.0,20.0,7.0,18.0,8.0,19.0,14.0,6.0
Recording engineer,12.0,17.0,8.0,18.0,9.0,19.0,14.0,6.0
Recording engineer,11.0,17.0,9.0,18.0,5.0,19.0,14.0,6.0
Recording engineer,11.0,18.0,10.0,18.0,6.0,19.0,14.0,6.0
Recording engineer,12.0,17.0,5.0,18.0,7.0,19.0,14.0,6.0
Recording engineer,13.0,20.0,6.0,18.0,8.0,19.0,14.0,6.0
Recording engineer,13.0,17.0,7.0,18.0,9.0,19.0,12.0,6.0
Recording engineer,12.0,17.0,8.0,18.0,8.0,19.0,14.0,6.0
Recording engineer,11.0,18.0,9.0,18.0,5.0,19.0,13.0,6.0
Recording engineer,11.0,17.0,10.0,18.0,6.0,19.0,11.0,5.0
Recording engineer,12.0,17.0,7.0,19.0,7.0,20.0,12.0,6.0
Recording engineer,13.0,16.0,8.0,19.0,8.0,20.0,12.0,7.0
Recording engineer,13.0,15.0,9.0,19.0,9.0,20.0,12.0,8.0
Recording engineer,12.0,19.0,10.0,18.0,8.0,20.0,12.0,9.0
Recording engineer,11.0,20.0,5.0,17.0,9.0,20.0,14.0,5.0
Recording engineer,11.0,17.0,6.0,17.0,5.0,20.0,13.0,6.0
Recording engineer,12.0,17.0,7.0,16.0,6.0,20.0,11.0,7.0
Recording engineer,13.0,18.0,8.0,15.0,7.0,20.0,12.0,8.0
Recording engineer,14.0,17.0,9.0,19.0,8.0,20.0,14.0,9.0
Recording engineer,13.0,17.0,10.0,20.0,9.0,20.0,13.0,7.0
Recording engineer,11.0,17.0,10.0,17.0,8.0,19.0,11.0,8.0
Recording engineer,12.0,17.0,10.0,17.0,9.0,15.0,12.0,9.0
Recording engineer,14.0,18.0,10.0,18.0,10.0,16.0,14.0,10.0
Recording engineer,13.0,20.0,10.0,17.0,5.0,17.0,13.0,8.0
Recording engineer,11.0,17.0,10.0,15.0,6.0,18.0,11.0,9.0
Recording engineer,11.0,18.0,10.0,17.0,7.0,19.0,13.0,10.0
Audiologist,17.0,14.0,6.0,16.0,9.0,16.0,11.0,11.0
Audiologist,16.0,11.0,6.0,17.0,9.0,15.0,12.0,12.0
Audiologist,15.0,12.0,6.0,18.0,9.0,19.0,13.0,13.0
Audiologist,19.0,13.0,6.0,19.0,9.0,20.0,14.0,14.0
Audiologist,20.0,14.0,6.0,20.0,9.0,17.0,11.0,11.0
Audiologist,17.0,11.0,6.0,15.0,9.0,16.0,12.0,12.0
Audiologist,17.0,12.0,6.0,16.0,9.0,15.0,13.0,13.0
Audiologist,16.0,13.0,6.0,17.0,9.0,19.0,14.0,14.0
Audiologist,15.0,12.0,6.0,18.0,9.0,20.0,11.0,11.0
Audiologist,19.0,14.0,6.0,19.0,9.0,17.0,12.0,12.0
Audiologist,20.0,11.0,6.0,20.0,9.0,16.0,13.0,13.0
Audiologist,17.0,12.0,6.0,15.0,9.0,15.0,14.0,14.0
Audiologist,17.0,13.0,6.0,16.0,9.0,19.0,11.0,11.0
Audiologist,16.0,14.0,6.0,17.0,9.0,20.0,12.0,12.0
Audiologist,15.0,11.0,6.0,18.0,9.0,17.0,13.0,13.0
Audiologist,19.0,12.0,6.0,19.0,9.0,16.0,14.0,14.0
Audiologist,20.0,13.0,6.0,20.0,9.0,15.0,11.0,11.0
Audiologist,17.0,12.0,6.0,15.0,9.0,19.0,12.0,12.0
Audiologist,16.0,14.0,6.0,16.0,9.0,20.0,13.0,13.0
Audiologist,17.0,11.0,6.0,17.0,9.0,16.0,14.0,14.0
Audiologist,16.0,12.0,6.0,18.0,9.0,15.0,11.0,11.0
Audiologist,15.0,13.0,6.0,19.0,9.0,19.0,12.0,12.0
Audiologist,19.0,14.0,6.0,20.0,9.0,20.0,13.0,13.0
Audiologist,20.0,11.0,6.0,15.0,9.0,17.0,14.0,14.0
Audiologist,17.0,12.0,6.0,16.0,9.0,17.0,11.0,11.0
Audiologist,17.0,13.0,7.0,17.0,9.0,17.0,12.0,12.0
Audiologist,17.0,12.0,8.0,18.0,9.0,17.0,13.0,13.0
Audiologist,16.0,14.0,9.0,19.0,9.0,17.0,14.0,14.0
Audiologist,15.0,11.0,10.0,20.0,9.0,17.0,11.0,13.0
Audiologist,19.0,12.0,8.0,20.0,9.0,20.0,12.0,11.0
Audiologist,20.0,13.0,8.0,20.0,5.0,20.0,12.0,11.0
Audiologist,17.0,14.0,8.0,20.0,6.0,20.0,12.0,11.0
Audiologist,17.0,11.0,8.0,20.0,7.0,20.0,12.0,11.0
Audiologist,16.0,12.0,8.0,20.0,8.0,20.0,12.0,11.0
Audiologist,15.0,13.0,8.0,20.0,9.0,20.0,12.0,11.0
Audiologist,19.0,12.0,8.0,20.0,10.0,20.0,12.0,11.0
Audiologist,20.0,14.0,5.0,20.0,9.0,20.0,12.0,11.0
Audiologist,17.0,11.0,6.0,20.0,9.0,20.0,12.0,11.0
Audiologist,18.0,12.0,7.0,20.0,9.0,20.0,12.0,11.0
Audiologist,17.0,13.0,8.0,20.0,9.0,20.0,12.0,11.0
Audiologist,16.0,14.0,9.0,20.0,9.0,20.0,12.0,11.0
Audiologist,15.0,11.0,10.0,20.0,9.0,20.0,12.0,11.0
Audiologist,19.0,12.0,8.0,20.0,5.0,20.0,12.0,11.0
Audiologist,20.0,13.0,8.0,20.0,6.0,20.0,12.0,11.0
Audiologist,17.0,12.0,8.0,20.0,7.0,20.0,12.0,11.0
Audiologist,17.0,14.0,8.0,20.0,8.0,20.0,12.0,11.0
Audiologist,16.0,11.0,8.0,20.0,9.0,20.0,12.0,11.0
Audiologist,15.0,12.0,8.0,20.0,10.0,20.0,12.0,11.0
Audiologist,19.0,13.0,7.0,20.0,9.0,20.0,12.0,11.0
Audiologist,20.0,14.0,6.0,20.0,9.0,20.0,12.0,11.0
Sound editor,11.0,20.0,5.0,15.0,7.0,12.0,13.0,18.0
Sound editor,12.0,15.0,6.0,16.0,5.0,13.0,13.0,19.0
Sound editor,13.0,15.0,8.0,17.0,6.0,14.0,13.0,20.0
Sound editor,14.0,17.0,9.0,18.0,8.0,12.0,13.0,17.0
Sound editor,12.0,19.0,10.0,19.0,9.0,13.0,13.0,18.0
Sound editor,13.0,20.0,9.0,16.0,10.0,14.0,13.0,18.0
Sound editor,11.0,15.0,8.0,15.0,9.0,12.0,13.0,19.0
Sound editor,12.0,15.0,7.0,16.0,8.0,13.0,13.0,20.0
Sound editor,13.0,15.0,5.0,17.0,7.0,14.0,13.0,17.0
